순위,노래 제목,가수명
1,Supernova,aespa
2,Small girl (feat. 도경수(D.O.)),이영지
3,How Sweet,NewJeans
4,소나기,이클립스 (ECLIPSE)
5,Supernatural,NewJeans
6,Bubble Gum,NewJeans
7,Sticky,KISS OF LIFE
8,고민중독,QWER
9,Armageddon,aespa
10,SPOT! (feat. JENNIE),지코 (ZICO)
11,한 페이지가 될 수 있게,DAY6 (데이식스)
12,Magnetic,아일릿(ILLIT)
13,해야 (HEYA),IVE (아이브)
14,나는 아픈 건 딱 질색이니까,(여자)아이들
15,사랑은 늘 도망가,임영웅
16,첫 만남은 계획대로 되지 않아,TWS (투어스)
17,예뻤어,DAY6 (데이식스)
18,천상연,이창섭
19,클락션 (Klaxon),(여자)아이들
20,Welcome to the Show,DAY6 (데이식스)
21,온기,임영웅
22,우리들의 블루스,임영웅
23,Home,임영웅
24,모래 알갱이,임영웅
25,다시 만날 수 있을까,임영웅
26,에피소드,이무진
27,미안해 미워해 사랑해,Crush
28,Boom Boom Bass,RIIZE
29,이제 나만 믿어요,임영웅
30,Do or Die,임영웅
31,무지개,임영웅
32,Polaroid,임영웅
33,London Boy,임영웅
34,Love wins all,아이유
35,Hype Boy,NewJeans
36,비의 랩소디,임재현
37,Seven (feat. Latto) - Clean Ver.,정국
38,인생찬가,임영웅
39,WAY 4 LUV,PLAVE
40,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
41,오래된 노래,허각
42,슬픈 초대장,순순희 (지환)
43,연애편지,임영웅
44,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
45,SHEESH,BABYMONSTER
46,I AM,IVE (아이브)
47,밤양갱,비비 (BIBI)
48,ETA,NewJeans
49,헤어지자 말해요,박재정
50,Super Shy,NewJeans
